# mechanism-map-schema: gororoba-legacy-patch-mechanism-map-v1
# One row per effect atom: a (patch, file) pair, split further where one
# patch carries effects belonging to different native commits (0028).
# native_commit_group values are candidate review buckets, not approved
# commit boundaries; the semantic review decides merges and splits, and
# patch-number adjacency is not the deciding criterion. Tree IDs come
# from docs/legacy-patch-transitions.tsv. evidence_scope repeats the
# README promotion ledger classes; per-patch hardware verdicts stay in
# the referenced steinmarder-r300 status table.
effect_atom	patch_index	patch	input_tree	output_tree	file	symbol	mechanism_id	role	depends_on	supersedes	execution_scope	evidence_scope	default_safety_state	native_commit_group	disposition	evidence_reference	notes
0011.0	9	0011-rs480-gart-status-candidate-regs-debugfs.patch	c1582e7812c03ca24655c61f9db78bca51e3b9f6	d1a20bb550b4765d672664dd5ff392ffb2cd5d09	radeon/rs400.c	none	candidate-status-register-surfaces	extend	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	Candidate and status register surfaces	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0012.0	10	0012-rs480-uma-status-debugfs.patch	d1a20bb550b4765d672664dd5ff392ffb2cd5d09	9d1d519899a38d5b4e72daf74dcc65d9807b8122	radeon/rs400.c	none	candidate-status-register-surfaces	extend	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	Candidate and status register surfaces	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0013.0	11	0013-rs480-cp-me-oracle-debugfs.patch	9d1d519899a38d5b4e72daf74dcc65d9807b8122	b140f89504d4628bf88078d6637073148a9c00bf	radeon/rs400.c	none	cp-me-dump-inject-oracle	extend	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0013.1	11	0013-rs480-cp-me-oracle-debugfs.patch	9d1d519899a38d5b4e72daf74dcc65d9807b8122	b140f89504d4628bf88078d6637073148a9c00bf	radeon/radeon_drv.c	none	cp-me-dump-inject-oracle	extend	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0013.2	11	0013-rs480-cp-me-oracle-debugfs.patch	9d1d519899a38d5b4e72daf74dcc65d9807b8122	b140f89504d4628bf88078d6637073148a9c00bf	radeon/radeon.h	none	cp-me-dump-inject-oracle	extend	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0014.0	12	0014-rs480-promote-config-regs-to-safe.patch	b140f89504d4628bf88078d6637073148a9c00bf	dded3e102fc721bf8f44f2e93bc3039d55c44d97	radeon/rs400.c	none	safe-register-promotion	promote	candidate-status-register-surfaces	none	cs-validation	compile-verified	always-on	Safe-register promotions	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0015.0	13	0015-rs480-frontier-attended-probe-debugfs.patch	dded3e102fc721bf8f44f2e93bc3039d55c44d97	4c5fee1ad675e515218e720d58c492ae9eebbf89	radeon/radeon.h	none	gated-hazard-readers	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0015.1	13	0015-rs480-frontier-attended-probe-debugfs.patch	dded3e102fc721bf8f44f2e93bc3039d55c44d97	4c5fee1ad675e515218e720d58c492ae9eebbf89	radeon/radeon_drv.c	none	gated-hazard-readers	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0015.2	13	0015-rs480-frontier-attended-probe-debugfs.patch	dded3e102fc721bf8f44f2e93bc3039d55c44d97	4c5fee1ad675e515218e720d58c492ae9eebbf89	radeon/rs400.c	none	gated-hazard-readers	introduce	debugfs-registration-root	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0016.0	14	0016-rs480-cp-me-inject-eio-perdev-ppos-hardening.patch	4c5fee1ad675e515218e720d58c492ae9eebbf89	8a48228e9398c2fbcf556b94c5aefcb0b3f5e558	radeon/rs400.c	none	cp-me-dump-inject-oracle	harden	none	none	debugfs-write	compile-verified	root-only-debugfs-write	CP-ME dump, injection, oracle, and hardening	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0017.0	15	0017-rs480-promote-frontier-responders-to-safe.patch	8a48228e9398c2fbcf556b94c5aefcb0b3f5e558	528eed3601a6405a4a738deb1c9e57b202638355	radeon/rs400.c	none	safe-register-promotion	promote	gated-hazard-readers	none	cs-validation	compile-verified	always-on	Safe-register promotions	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0018.0	16	0018-rs480-sclk-cntl-pll-status-debugfs.patch	528eed3601a6405a4a738deb1c9e57b202638355	90c57ac18e9013c6c39d710fd6fbb0f5e7f4dcaf	radeon/rs400.c	none	candidate-status-register-surfaces	extend	debugfs-registration-root	none	debugfs-read	compile-verified	root-only-read-only-debugfs	Candidate and status register surfaces	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0019.0	17	0019-rs480-pll-indirect-and-hazard-firstread-debugfs.patch	90c57ac18e9013c6c39d710fd6fbb0f5e7f4dcaf	a8b6e2187e405ce665a1f38337abc332627e035f	radeon/radeon.h	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0019.1	17	0019-rs480-pll-indirect-and-hazard-firstread-debugfs.patch	90c57ac18e9013c6c39d710fd6fbb0f5e7f4dcaf	a8b6e2187e405ce665a1f38337abc332627e035f	radeon/radeon_drv.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0019.2	17	0019-rs480-pll-indirect-and-hazard-firstread-debugfs.patch	90c57ac18e9013c6c39d710fd6fbb0f5e7f4dcaf	a8b6e2187e405ce665a1f38337abc332627e035f	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0020.0	18	0020-rs480-promote-hazard-read-responders-to-safe.patch	a8b6e2187e405ce665a1f38337abc332627e035f	8133cf8dfca9d57d2ee06b003f0f935182896ac8	radeon/rs400.c	none	safe-register-promotion	promote	gated-hazard-readers	none	cs-validation	compile-verified	always-on	Safe-register promotions	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0021.0	19	0021-rs480-cs-checker-r400-us-allowlist.patch	8133cf8dfca9d57d2ee06b003f0f935182896ac8	5608c1a538c610c35d82988d4fa42200b48a5dfa	radeon/Makefile	none	r400-us-cs-allowlist	introduce	none	none	cs-validation	compile-verified	boolean-gate-closed-at-zero	R400-US command-stream allowlist	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0021.1	19	0021-rs480-cs-checker-r400-us-allowlist.patch	8133cf8dfca9d57d2ee06b003f0f935182896ac8	5608c1a538c610c35d82988d4fa42200b48a5dfa	radeon/reg_srcs/rs480	reg_srcs/rs480	r400-us-cs-allowlist	generated-input	none	none	cs-validation	compile-verified	boolean-gate-closed-at-zero	R400-US command-stream allowlist	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	generator input for rs480_reg_safe.h; the generated header is a build product
0021.2	19	0021-rs480-cs-checker-r400-us-allowlist.patch	8133cf8dfca9d57d2ee06b003f0f935182896ac8	5608c1a538c610c35d82988d4fa42200b48a5dfa	radeon/radeon.h	none	r400-us-cs-allowlist	introduce	none	none	cs-validation	compile-verified	boolean-gate-closed-at-zero	R400-US command-stream allowlist	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0021.3	19	0021-rs480-cs-checker-r400-us-allowlist.patch	8133cf8dfca9d57d2ee06b003f0f935182896ac8	5608c1a538c610c35d82988d4fa42200b48a5dfa	radeon/radeon_drv.c	none	r400-us-cs-allowlist	introduce	none	none	cs-validation	compile-verified	boolean-gate-closed-at-zero	R400-US command-stream allowlist	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0021.4	19	0021-rs480-cs-checker-r400-us-allowlist.patch	8133cf8dfca9d57d2ee06b003f0f935182896ac8	5608c1a538c610c35d82988d4fa42200b48a5dfa	radeon/rs400.c	none	r400-us-cs-allowlist	introduce	none	none	cs-validation	compile-verified	boolean-gate-closed-at-zero	R400-US command-stream allowlist	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0022.0	20	0022-rs480-vertex-engine-attended-probe-debugfs.patch	5608c1a538c610c35d82988d4fa42200b48a5dfa	67677f4bc9a122da7afaa4b18ffdd08476a91164	radeon/radeon.h	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0022.1	20	0022-rs480-vertex-engine-attended-probe-debugfs.patch	5608c1a538c610c35d82988d4fa42200b48a5dfa	67677f4bc9a122da7afaa4b18ffdd08476a91164	radeon/radeon_drv.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0022.2	20	0022-rs480-vertex-engine-attended-probe-debugfs.patch	5608c1a538c610c35d82988d4fa42200b48a5dfa	67677f4bc9a122da7afaa4b18ffdd08476a91164	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0024.0	21	0024-rs480-reader-hazard-skip-guard.patch	67677f4bc9a122da7afaa4b18ffdd08476a91164	c3138cf4ef5c0fc870de61771433cf03ea1940b3	radeon/rs400.c	none	gated-hazard-readers	harden	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0025.0	22	0025-rs480-per-domain-force-clock-then-read-node.patch	c3138cf4ef5c0fc870de61771433cf03ea1940b3	cab0a62c2f6f55b8aa3e841289339846fe29637f	radeon/radeon.h	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0025.1	22	0025-rs480-per-domain-force-clock-then-read-node.patch	c3138cf4ef5c0fc870de61771433cf03ea1940b3	cab0a62c2f6f55b8aa3e841289339846fe29637f	radeon/radeon_drv.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0025.2	22	0025-rs480-per-domain-force-clock-then-read-node.patch	c3138cf4ef5c0fc870de61771433cf03ea1940b3	cab0a62c2f6f55b8aa3e841289339846fe29637f	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0026.0	23	0026-rs480-gate-wedge-prone-candidate-readers.patch	cab0a62c2f6f55b8aa3e841289339846fe29637f	bc53006d3316da4081cf7f2136e60ce65b9b75ed	radeon/radeon.h	none	gated-hazard-readers	harden	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0026.1	23	0026-rs480-gate-wedge-prone-candidate-readers.patch	cab0a62c2f6f55b8aa3e841289339846fe29637f	bc53006d3316da4081cf7f2136e60ce65b9b75ed	radeon/radeon_drv.c	none	gated-hazard-readers	harden	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0026.2	23	0026-rs480-gate-wedge-prone-candidate-readers.patch	cab0a62c2f6f55b8aa3e841289339846fe29637f	bc53006d3316da4081cf7f2136e60ce65b9b75ed	radeon/rs400.c	none	gated-hazard-readers	harden	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0027.0	24	0027-rs480-gpu-hang-panic-breadcrumb-notifier.patch	bc53006d3316da4081cf7f2136e60ce65b9b75ed	35c3b75d115239acbed5d2dc11fc549d9a58a27a	radeon/radeon_device.c	none	panic-breadcrumb	introduce	none	none	panic-notifier	compile-verified	always-on	Panic breadcrumb	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0028.0	25	0028-rs480-combios4-safe-and-vip-straggler-reader.patch	35c3b75d115239acbed5d2dc11fc549d9a58a27a	c5596a3d813ec52d3024fd4ad532d4f1bd7ba5c3	radeon/rs400.c	none	safe-register-promotion	promote	candidate-status-register-surfaces	none	cs-validation	compile-verified	always-on	Safe-register promotions	split	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	first hunk: COMBIOS4 register promotions to the safe list
0028.1	25	0028-rs480-combios4-safe-and-vip-straggler-reader.patch	35c3b75d115239acbed5d2dc11fc549d9a58a27a	c5596a3d813ec52d3024fd4ad532d4f1bd7ba5c3	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	split	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	later hunks: separately gated VIP/TV straggler reader; belongs to a different native commit than the safe-list promotion
0029.0	26	0029-rs480-force-clock-disp1-disp2-extension.patch	c5596a3d813ec52d3024fd4ad532d4f1bd7ba5c3	d1e6d785eb87fb7c587108a0466e9cfabca65269	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0030.0	27	0030-rs480-force-clock-cohort-widen-fp-crtc2-ov0.patch	d1e6d785eb87fb7c587108a0466e9cfabca65269	3a2a6abaed141c09f41ecca06aef218c5996ec95	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0031.0	28	0031-rs480-gated-state-plain-read-disp2-probe.patch	3a2a6abaed141c09f41ecca06aef218c5996ec95	0ca68fb2997c148717562a1656e36df646ebaf55	radeon/radeon.h	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0031.1	28	0031-rs480-gated-state-plain-read-disp2-probe.patch	3a2a6abaed141c09f41ecca06aef218c5996ec95	0ca68fb2997c148717562a1656e36df646ebaf55	radeon/radeon_drv.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0031.2	28	0031-rs480-gated-state-plain-read-disp2-probe.patch	3a2a6abaed141c09f41ecca06aef218c5996ec95	0ca68fb2997c148717562a1656e36df646ebaf55	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	boolean-gate-closed-at-zero	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0032.0	29	0032-rs480-force-clock-remaining-disp-ov0-vip-tv.patch	0ca68fb2997c148717562a1656e36df646ebaf55	125a05a886853a9bf32744dc4aca89d328ea7cb0	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0033.0	30	0033-rs480-force-clock-3d-engine-control-registers.patch	125a05a886853a9bf32744dc4aca89d328ea7cb0	5f77ed7ea2601eb8e22b81b35903a868149b5f56	radeon/radeon_drv.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0033.1	30	0033-rs480-force-clock-3d-engine-control-registers.patch	125a05a886853a9bf32744dc4aca89d328ea7cb0	5f77ed7ea2601eb8e22b81b35903a868149b5f56	radeon/radeon.h	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0033.2	30	0033-rs480-force-clock-3d-engine-control-registers.patch	125a05a886853a9bf32744dc4aca89d328ea7cb0	5f77ed7ea2601eb8e22b81b35903a868149b5f56	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0034.0	31	0034-rs480-force-clock-3d-table-expansion-ga-rs-rb.patch	5f77ed7ea2601eb8e22b81b35903a868149b5f56	17493e3dd5ac3073d523242945c6777d059a9055	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0035.0	32	0035-rs480-force-clock-3d-table-vap-su-sc-fg-rb-control.patch	17493e3dd5ac3073d523242945c6777d059a9055	db62924eee07a7b2a93c3ef2841abd7ac4667ef0	radeon/rs400.c	none	gated-hazard-readers	extend	none	none	debugfs-read	compile-verified	index-selector-disarmed-at-negative	Attended and gated hazard readers	fold	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
0036.0	33	0036-rs480-skip-discrete-r300-mc-idle-wait-on-igp.patch	db62924eee07a7b2a93c3ef2841abd7ac4667ef0	b55201e249d93f0972e1413d7cc9b78bcfaa1ebd	radeon/r300.c	none	igp-mc-idle-wait-correction	correct	none	none	reset-path	compile-verified	always-on	IGP reset precondition correction	standalone	steinmarder-r300:src/re/r300/findings/rs480-reset-recovery-patch-status-table.md	
