# schema: gororoba-base-delta-map-v1
# upstream-subtree-tree: 06a00c78fc5be13ed90c2a2c6973f272d993b6a3
# base-manifest-sha256: 1f085124056f24cdfe26ff3c19e615c32cefdb5fef5a9343205acce17e7d94c7
# diff-engine: python-difflib
# diff-context: 3
file	symbol_or_range	hunk_id	parent_hunk	normalized_diff_sha256	origin_kind	mechanism_lane	materialization_kind	upstream_origin_commit	legacy_origin	execution_scope	evidence_scope	future_source_commit	notes
radeon_device.c	radeon_resume_kms	e5e6568dcda313db	radeon_device.c#2	ec5eb297feb9e5423be613c17c38b7cbf0b88017cf253028363db44b3e142441	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	7910d69376cde30e5871970d97d1a2e360568474	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		carries the 7.x-side call from the named upstream commit under LINUX_VERSION_CODE >= 7.0, reindented into the retained v6.18 body
radeon_device.c	radeon_resume_kms	93b44ccc859485c1	radeon_device.c#2	b0f598d01bbd58549e006393388c4c317b1e32991f2525cd646dca2fe04720c9	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	7910d69376cde30e5871970d97d1a2e360568474	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_drv.c	file scope	17cac8491f33ea4f	radeon_drv.c#1	160d4f7d3e5bb136f159b6b368090fdc263306def21166453dd0aba032dae75f	project-local	shared-radeon	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch;steinmarder-r300:docs/external_sources/smx_dma_kernel_headers/x130e_local/radeon_drv.c	radeon_pci_probe on CHIP_R600 and later	compile-verified; probe-time path not exercised on retained hardware		namei.h and path.h serve kern_path in radeon_firmware_installed; added text absent from upstream radeon history: exact -S negative in v6.18..v7.1 and in full path-scoped history at snapshot head 62cc9024; style suggests an external downstream origin and authorship stays unproven; retained in the legacy X130e tree
radeon_drv.c	defines radeon_palm_pci_reset_unsafe..radeon_rs480_safe_regs	aab5dacf202723e8	radeon_drv.c#2	81b3e9694cb15bc332176a9457e3958329e36252e30992377f9b8f1338c5cfed	project-local	register-policy	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	module load and parameter surface on every radeon ASIC	compile-verified; module parameters observed via modinfo on the RS482 host; Palm silicon not run		defines the two policy gates; rs480_safe_regs defaults to 1 (exposure on) and palm_pci_reset_unsafe to 0 (reset refused)
radeon_drv.c	radeon_vce	ac7fd7e292117e7f	radeon_drv.c#3	13b926cad1c6a8aaeda57a4e9881228aafe425a334edc8b30658823b8b99439a	project-local	register-policy	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	module load and parameter surface on every radeon ASIC	compile-verified; module parameters observed via modinfo on the RS482 host; Palm silicon not run		module_param_named and MODULE_PARM_DESC for both gates; palm gate is 0644 and rs480 gate read-only 0444
radeon_drv.c	defines radeon_firmware_installed	4f864c2df3ef8b16	radeon_drv.c#4	b0a0cd2842548a5d072749ec59b2a390471140ea3ccb1298fe0dce08625bf750	project-local	shared-radeon	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch;steinmarder-r300:docs/external_sources/smx_dma_kernel_headers/x130e_local/radeon_drv.c	radeon_pci_probe on CHIP_R600 and later	compile-verified; probe-time path not exercised on retained hardware		added text absent from upstream radeon history: exact -S negative in v6.18..v7.1 and in full path-scoped history at snapshot head 62cc9024; style suggests an external downstream origin and authorship stays unproven; retained in the legacy X130e tree
radeon_drv.c	radeon_pci_probe	2f32ea9f73adefea	radeon_drv.c#5	25a9c7cf0ef71307bb6646aa86dc45ff73914aaffa8a95417d8fd8bfc27a05fa	project-local	shared-radeon	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch;steinmarder-r300:docs/external_sources/smx_dma_kernel_headers/x130e_local/radeon_drv.c	radeon_pci_probe on CHIP_R600 and later	compile-verified; probe-time path not exercised on retained hardware		probe-time enforcement of the firmware check; added text absent from upstream radeon history: exact -S negative in v6.18..v7.1 and in full path-scoped history at snapshot head 62cc9024; style suggests an external downstream origin and authorship stays unproven; retained in the legacy X130e tree
radeon_fbdev.c	radeon_fbdev_driver_fbdev_probe	701686289193f7d4	radeon_fbdev.c#1	89d630d127987f64887bed24ba37743782dca1d821f7a537b49e2f35b1f534b2	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	63c971af40365ee706c7e24f6a7900d693518f09	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		carries the 7.x-side call from the named upstream commit under LINUX_VERSION_CODE >= 7.0, reindented into the retained v6.18 body
radeon_fbdev.c	radeon_fbdev_driver_fbdev_probe	a9a3c892de303484	radeon_fbdev.c#1	b15804e45ade77a9b85fc8b288a4f9c7c5ca365e8a7a74f60a5ed69507ce54a8	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	63c971af40365ee706c7e24f6a7900d693518f09	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_fbdev.c	radeon_fbdev_driver_fbdev_probe	b07c390e22126d32	radeon_fbdev.c#2	09c7006f2d0b7ce4f44e3c38191a955a0146d3caf7999a79513cb7b1050ce614	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	63c971af40365ee706c7e24f6a7900d693518f09	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_fbdev.c	radeon_fbdev_driver_fbdev_probe	e259368b09713c85	radeon_fbdev.c#2	b15804e45ade77a9b85fc8b288a4f9c7c5ca365e8a7a74f60a5ed69507ce54a8	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	63c971af40365ee706c7e24f6a7900d693518f09	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_fbdev.c	radeon_fbdev_driver_fbdev_probe	4954e9291a450702	radeon_fbdev.c#3	09c7006f2d0b7ce4f44e3c38191a955a0146d3caf7999a79513cb7b1050ce614	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	63c971af40365ee706c7e24f6a7900d693518f09	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_fbdev.c	radeon_fbdev_driver_fbdev_probe	581fc9f93b4e44d1	radeon_fbdev.c#3	b15804e45ade77a9b85fc8b288a4f9c7c5ca365e8a7a74f60a5ed69507ce54a8	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	63c971af40365ee706c7e24f6a7900d693518f09	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_gem.c	radeon_gem_object_free	386ce5df752f0103	radeon_gem.c#1	4ac5bfb2ddef967d72fcc12f52df7b5d49140e6c07cac3d2300e868782b0c647	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	ed7a4397f55bfacf2c4c3e466940ed4961707094	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		carries the 7.x-side call from the named upstream commit under LINUX_VERSION_CODE >= 7.0, reindented into the retained v6.18 body
radeon_gem.c	radeon_gem_object_free	ae6a7bc9ec68ff13	radeon_gem.c#1	9bd52e2385318d737ff4f97d36070461f7390620a4c2a9315631e2e02b197eea	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	ed7a4397f55bfacf2c4c3e466940ed4961707094	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_irq_kms.c	radeon_msi_ok	c8bb7aee070d95ca	radeon_irq_kms.c#1	b9d3891e23895559f8dafd6a65655358c843017a6e5e8c9ec4a53c6d281559c7	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	386ced19e9a348e8131d20f009e692fa8fcc4568	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		carries the 7.x-side call from the named upstream commit under LINUX_VERSION_CODE >= 7.0, reindented into the retained v6.18 body; the guarded line matches the PCI/MSI conversion in radeon_msi_ok, and 617562bbe12df796fc21df5fbf262eadf083a90f later moves that assignment to radeon_device.c
radeon_irq_kms.c	radeon_msi_ok	26c0b0abc4a4662b	radeon_irq_kms.c#1	69e5d50c5696104df78b6230483635360579d9531c126538c2d32d563d3b2714	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	386ced19e9a348e8131d20f009e692fa8fcc4568	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_kms.c	file scope	37f4c886bcab2868	radeon_kms.c#1	8aa9fcfff82dc7d176ecb89b3118e3e10b21ac28d557ceaeb91f1bee01fa4ac3	project-local	Palm/Wrestler	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	debugfs.h include serving the reset trigger registration	compile-verified; module parameters observed via modinfo on the RS482 host; Palm silicon not run		
radeon_kms.c	defines radeon_force_pci_reset_safe_fops	2d5ce003816982fb	radeon_kms.c#2	fe11a04afae348a5136c73c30790f74ce933325f50cbf8294e251a5c270b69a4	project-local	Palm/Wrestler	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	radeon_force_pci_reset_safe debugfs write handler; Palm gate enforced inside the reset function	compile-verified; module parameters observed via modinfo on the RS482 host; Palm silicon not run		0200 root-write trigger; input validated to the single character '1'
radeon_kms.c	radeon_driver_load_kms	d1fa4c9f44ef525b	radeon_kms.c#3	5c2b967756f5c9de097b29bf6f967f0234b96107f11446a71e9ca1c5742ef4f0	project-local	Palm/Wrestler	observed-in-legacy-base	none	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	debugfs registration in radeon_driver_load_kms	compile-verified; module parameters observed via modinfo on the RS482 host; Palm silicon not run		registered at debugfs root because the DRM primary root is not yet populated at this point in load
radeon_legacy_crtc.c	radeon_crtc_set_base	877b66030a86c091	radeon_legacy_crtc.c#1	73edc5b77d99250c707b9eff46c209cb013620666868d189a1572e083a2e4f22	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_legacy_crtc.c	radeon_crtc_set_base_atomic	e7f2289270619c0c	radeon_legacy_crtc.c#1	39b68b9a03b52f826ee42a06db59f1a80306c3572d4cec00edce9454cf95b26b	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_legacy_crtc.c	legacy_helper_funcs	d1a0372123322fa9	radeon_legacy_crtc.c#2	73edc5b77d99250c707b9eff46c209cb013620666868d189a1572e083a2e4f22	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_legacy_crtc.c	legacy_helper_funcs	0c49b34006b23cbb	radeon_legacy_crtc.c#2	ba9fbb98fa385bfba7f9ec5c2ecbc38faf8187d70e00b54301c8afd45e05d049	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_mode.h	atombios_crtc_set_base	6f5802c3ee783bf2	radeon_mode.h#1	6f5e6c504ded6970728791678fc06a336c02b1b0f6f46916cb259847587e9c6c	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_mode.h	atombios_crtc_set_base_atomic	b7ec2412229afa93	radeon_mode.h#1	8239aaa16b6c6b6d2e47398de97a3b4a63c4990a5c161a86cb97471a91408e0a	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
radeon_mode.h	radeon_crtc_set_base	6c18b7f01139cde5	radeon_mode.h#2	6f5e6c504ded6970728791678fc06a336c02b1b0f6f46916cb259847587e9c6c	upstream-derived-adaptation	kernel-version-compatibility	observed-in-legacy-base	a22461eddaf6a0f82ca2d02de2e180dcc16b3937	steinmarder-r300:src/re/r300/results/cachyos_vostro1000_tmp_run_logs_home_sweep_20260628Z/radeon_authoritative_postpatch	6.18 and 7.x kernel lanes at the KERNEL_VERSION(7,0,0) boundary	compile-verified on the 6.18 and 7.x kernel lanes (gates.yml package and compat-6-18 jobs)		guards the retained v6.18 form under LINUX_VERSION_CODE < 7.0; the named upstream commit changed that code in 7.0
